"user_id","total_revenue","total_orders","months_active","monthly_value","lifetime_value"
55,"290.65","1","1","290.65","290.65"
130,"667.80","3","11","60.71","667.80"
148,"631.66","3","8","78.96","631.66"
270,"376.95","3","9","41.88","376.95"
435,"1148.99","3","10","114.90","1148.99"
384,"410.97","1","1","410.97","410.97"
351,"182.45","1","1","182.45","182.45"
184,"287.59","1","1","287.59","287.59"
87,"1224.93","3","9","136.10","1224.93"
116,"1027.34","3","7","146.76","1027.34"
477,"403.89","1","1","403.89","403.89"
273,"1240.09","4","5","248.02","1240.09"
51,"428.93","2","6","71.49","428.93"
272,"529.82","2","4","132.46","529.82"
70,"700.77","4","11","63.71","700.77"
190,"1076.92","4","11","97.90","1076.92"
350,"583.01","2","4","145.75","583.01"
426,"582.08","3","9","64.68","582.08"
278,"1293.64","4","11","117.60","1293.64"
431,"75.33","1","1","75.33","75.33"
433,"30.36","1","1","30.36","30.36"
364,"466.42","1","1","466.42","466.42"
462,"496.39","1","1","496.39","496.39"
491,"1322.84","4","10","132.28","1322.84"
176,"40.22","1","1","40.22","40.22"
299,"137.75","1","1","137.75","137.75"
169,"78.27","1","1","78.27","78.27"
92,"521.41","2","8","65.18","521.41"
345,"295.10","2","5","59.02","295.10"
309,"131.85","2","7","18.84","131.85"
180,"212.49","2","5","42.50","212.49"
292,"921.71","3","6","153.62","921.71"
437,"99.60","1","1","99.60","99.60"
236,"1611.31","5","9","179.03","1611.31"
271,"514.35","2","5","102.87","514.35"
22,"335.12","2","4","83.78","335.12"
263,"410.42","1","1","410.42","410.42"
156,"227.87","1","1","227.87","227.87"
197,"589.05","2","1","589.05","589.05"
135,"575.63","2","4","143.91","575.63"
417,"369.62","2","2","184.81","369.62"
475,"221.79","1","1","221.79","221.79"
493,"388.85","1","1","388.85","388.85"
482,"588.99","4","7","84.14","588.99"
227,"264.90","1","1","264.90","264.90"
282,"317.12","1","1","317.12","317.12"
500,"319.20","2","3","106.40","319.20"
390,"777.49","3","12","64.79","777.49"
478,"721.82","2","7","103.12","721.82"
173,"694.62","2","3","231.54","694.62"
73,"231.13","1","1","231.13","231.13"
269,"855.54","3","2","427.77","855.54"
261,"296.62","1","1","296.62","296.62"
103,"627.34","2","7","89.62","627.34"
280,"429.98","1","1","429.98","429.98"
42,"516.95","2","2","258.48","516.95"
189,"1130.85","4","8","141.36","1130.85"
161,"396.45","2","5","79.29","396.45"
117,"1369.49","4","7","195.64","1369.49"
88,"840.66","3","7","120.09","840.66"
420,"277.38","1","1","277.38","277.38"
188,"564.47","2","8","70.56","564.47"
113,"559.98","2","1","559.98","559.98"
461,"784.75","2","7","112.11","784.75"
43,"217.51","1","1","217.51","217.51"
328,"616.39","3","2","308.20","616.39"
196,"346.85","2","7","49.55","346.85"
291,"125.93","2","6","20.99","125.93"
15,"724.08","2","1","724.08","724.08"
440,"51.40","2","5","10.28","51.40"
226,"645.01","2","11","58.64","645.01"
210,"642.06","3","2","321.03","642.06"
48,"492.10","2","7","70.30","492.10"
447,"183.92","1","1","183.92","183.92"
349,"362.68","2","1","362.68","362.68"
187,"796.22","2","3","265.41","796.22"
298,"608.41","2","1","608.41","608.41"
81,"186.40","1","1","186.40","186.40"
19,"362.75","2","3","120.92","362.75"
160,"36.80","1","1","36.80","36.80"
244,"578.87","3","6","96.48","578.87"
468,"260.15","1","1","260.15","260.15"
357,"774.12","2","4","193.53","774.12"
331,"1193.02","3","7","170.43","1193.02"
251,"915.44","4","10","91.54","915.44"
104,"499.93","1","1","499.93","499.93"
266,"838.84","2","1","838.84","838.84"
171,"679.50","2","3","226.50","679.50"
315,"762.18","3","7","108.88","762.18"
307,"126.37","1","1","126.37","126.37"
366,"628.99","3","6","104.83","628.99"
427,"1566.86","6","11","142.44","1566.86"
347,"1258.40","4","4","314.60","1258.40"
283,"586.91","2","1","586.91","586.91"
179,"1199.61","6","10","119.96","1199.61"
29,"1001.78","3","6","166.96","1001.78"
305,"613.74","2","3","204.58","613.74"
54,"374.34","3","5","74.87","374.34"
4,"949.10","2","1","949.10","949.10"
181,"481.71","2","3","160.57","481.71"
361,"471.03","1","1","471.03","471.03"
466,"182.34","1","1","182.34","182.34"
201,"216.54","1","1","216.54","216.54"
303,"293.33","1","1","293.33","293.33"
10,"519.90","2","8","64.99","519.90"
105,"499.98","2","1","499.98","499.98"
35,"1485.98","6","5","297.20","1485.98"
402,"741.19","3","4","185.30","741.19"
472,"502.82","2","7","71.83","502.82"
444,"394.35","4","5","78.87","394.35"
6,"720.06","3","10","72.01","720.06"
445,"354.57","1","1","354.57","354.57"
446,"368.71","2","4","92.18","368.71"
233,"342.65","1","1","342.65","342.65"
220,"1276.05","5","12","106.34","1276.05"
86,"314.54","1","1","314.54","314.54"
400,"354.18","1","1","354.18","354.18"
93,"1053.19","4","8","131.65","1053.19"
89,"1048.59","3","11","95.33","1048.59"
219,"461.11","1","1","461.11","461.11"
373,"407.17","2","1","407.17","407.17"
241,"389.27","2","8","48.66","389.27"
175,"134.34","2","5","26.87","134.34"
363,"671.29","2","4","167.82","671.29"
343,"1063.54","5","11","96.69","1063.54"
31,"35.83","1","1","35.83","35.83"
467,"2046.42","6","8","255.80","2046.42"
285,"67.82","1","1","67.82","67.82"
327,"223.25","3","6","37.21","223.25"
50,"206.32","3","9","22.92","206.32"
253,"893.23","5","3","297.74","893.23"
66,"647.62","2","1","647.62","647.62"
109,"562.07","3","5","112.41","562.07"
340,"573.20","3","7","81.89","573.20"
497,"259.48","1","1","259.48","259.48"
13,"370.16","1","1","370.16","370.16"
155,"677.23","3","5","135.45","677.23"
391,"227.75","1","1","227.75","227.75"
